media_cinza_cafe,R_medio_cafe,G_medio_cafe,B_medio_cafe,R_std_cafe,G_std_cafe,B_std_cafe,media_cinza_folha,Agtron
42.28,32.884,39.886,50.622,22.524,24.581,26.819,237.43,escuro
42.719,32.733,39.496,52.82,20.287,22.685,25.107,238.476,escuro
33.396,31.07,32.853,35.419,28.894,31.335,32.863,240.886,escuro
48.726,32.773,44.507,63.239,19.979,23.562,26.979,237.43,escuro
54.848,34.966,49.467,73.167,17.976,21.618,25.362,238.476,escuro
48.108,33.847,43.978,61.753,17.209,20.459,24.004,240.886,escuro
52.328,32.446,47.192,70.122,17.609,23.025,28.746,237.43,medio
67.749,36.698,60.278,94.329,17.987,23.934,30.188,238.476,medio
56.095,35.019,50.372,75.481,17.013,22.015,27.09,240.886,medio
61.07,35.42,54.872,83.161,18.461,24.752,29.412,237.43,medio
71.225,35.898,63.129,100.629,17.429,23.23,29.231,238.476,medio
65.882,35.869,58.576,91.719,19.343,25.701,30.256,240.886,medio
66.408,37.253,60.843,88.529,30.829,33.909,34.799,237.43,claro
77.565,36.522,68.82,110.403,18.586,26.008,33.1,238.476,claro
73.166,35.56,66.066,101.449,16.095,22.562,27.741,240.886,claro
64.346,34.097,58.699,87.049,22.024,27.566,31.666,237.43,claro
80.955,34.729,71.967,116.217,21.823,31.125,39.788,238.476,claro
75.234,34.126,67.196,106.696,18.873,28.142,36.409,240.886,claro
37.924,29.802,35.861,45.19,15.564,17.753,21.141,173.5,escuro
38.459,29.455,36.193,46.461,14.672,16.482,19.074,137.851,escuro
28.504,26.924,28.302,29.509,15.535,16.438,17.506,137.851,escuro
43.301,29.162,39.707,55.892,14.161,17.989,22.967,173.5,escuro
47.045,28.941,43.337,61.302,13.919,17.717,21.315,137.851,escuro
43.238,30.917,40.396,53.688,13.305,16.27,20.182,137.851,escuro
47.629,28.857,43.298,63.427,13.9,19.852,26.581,173.5,medio
60.418,31.706,55.528,81.038,15.005,21.6,27.286,137.851,medio
46.856,28.417,42.93,61.693,13.078,18.18,23.086,137.851,medio
53.627,30.633,48.334,72.951,13.68,20.449,26.481,173.5,medio
64.344,32.306,59.067,86.985,14.601,21.195,26.945,137.851,medio
60.483,31.492,54.696,82.961,14.677,21.703,27.55,137.851,medio
58.829,28.716,53.924,79.971,15.971,23.422,29.013,173.5,claro
69.064,30.961,63.04,95.385,15.751,23.175,29.616,137.851,claro
64.489,28.628,59.051,88.871,13.255,20.016,25.538,137.851,claro
63.088,31.26,57.94,85.381,14.723,22.629,28.763,173.5,claro
77.741,34.604,71.039,107.328,16.982,26.09,33.005,137.851,claro
39.991,30.364,37.36,48.838,22.964,25.844,29.168,203.505,escuro
41.159,31.502,38.163,50.714,25.068,28.217,31.772,202.606,escuro
34.817,32.571,34.174,36.985,33.295,35.769,37.64,201.939,escuro
49.822,32.184,45.193,65.643,22.645,27.326,32.432,203.505,escuro
52.223,32.444,47.428,69.172,21.11,26.131,31.09,202.606,escuro
45.423,32.288,41.584,57.961,21.279,25.321,29.91,201.939,escuro
55.544,31.428,49.949,75.717,21.003,29.527,36.981,203.505,medio
66.253,34.934,59.785,90.891,21.753,30.178,36.575,202.606,medio
51.749,31.328,46.569,69.705,20.671,27.403,33.829,201.939,medio
60.391,31.462,54.073,83.81,21.518,30.717,36.643,203.505,medio
66.898,32.962,60.239,92.899,20.149,28.604,35.042,202.606,medio
61.648,31.002,54.766,86.834,21.403,30.219,36.659,201.939,medio
64.866,33.227,59.403,87.63,22.347,29.925,34.021,203.505,claro
70.305,32.143,63.631,97.952,19.994,29.081,34.951,202.606,claro
66.217,29.842,59.944,92.392,17.592,26.12,31.882,201.939,claro
65.664,30.974,59.75,90.482,21.956,31.499,37.025,203.505,claro
83.421,36.467,76.379,115.128,21.706,31.845,36.474,202.606,claro
73.871,32.806,67.008,102.98,20.307,31.053,36.898,201.939,claro
39.28,30.625,36.969,47.146,21.441,24.43,28.3,200.137,escuro
40.208,32.125,37.725,48.178,22.759,25.718,29.698,202.964,escuro
36.969,35.537,36.434,38.635,30.544,32.208,33.514,204.31,escuro
47.391,31.822,43.396,61.2,18.675,23.612,29.707,200.137,escuro
46.615,30.795,42.725,60.299,18.425,23.186,28.571,202.964,escuro
41.775,30.796,38.508,52.382,18.223,22.239,27.699,204.31,escuro
54.133,32.323,49.165,72.204,19.423,27.909,36.138,200.137,medio
61.596,34.645,56.216,82.434,19.783,28.833,36.34,202.964,medio
48.524,31.178,44.039,63.938,18.438,25.15,32.319,204.31,medio
60.697,33.363,54.887,82.514,20.76,30.012,36.602,200.137,medio
64.724,34.424,59.229,87.062,18.7,27.706,34.834,202.964,medio
59.952,31.566,53.433,83.568,18.644,27.738,35.471,204.31,medio
66.93,35.719,61.794,88.894,21.877,30.831,36.277,200.137,claro
70.497,34.318,64.577,95.921,18.455,28.749,36.034,202.964,claro
67.679,32.752,61.802,92.529,16.965,26.41,32.886,204.31,claro
67.726,33.626,62.155,91.652,21.452,32.339,38.848,200.137,claro
79.713,35.093,73.287,109.355,19.098,30.586,36.527,202.964,claro
74.674,34.918,67.642,103.617,19.432,30.669,37.524,204.31,claro
41.677,29.899,40.239,48.874,19.359,18.473,19.112,168.185,escuro
45.123,27.945,42.315,57.153,17.022,17.999,19.2,168.185,escuro
53.819,30.951,50.072,69.938,19.661,21.625,23.295,168.185,medio
58.904,32.129,54.476,77.822,17.028,20.269,21.843,168.185,medio
65.864,34.055,61.932,85.701,23.815,24.639,24.932,168.185,claro
67.211,33.798,64.023,86.207,17.986,21.182,22.017,168.185,claro
26.926,15.541,23.323,38.329,9.707,12.671,17.461,155.274,escuro
22.965,15.206,20.853,30.077,9.829,11.303,14.356,155.274,escuro
26.926,15.541,23.323,38.329,9.707,12.671,17.461,155.274,escuro
35.643,18.124,30.653,52.116,11.547,17.41,23.883,155.274,medio
41.115,19.928,34.809,61.57,13.002,18.777,24.86,155.274,medio
45.533,21.921,39.737,65.898,15.806,20.95,25.592,155.274,claro
46.535,20.071,40.498,68.458,13.148,20.286,25.449,155.274,claro
18.402,13.547,15.282,26.355,20.612,20.643,23.301,171.274,escuro
16.575,11.591,13.517,24.433,16.953,17.187,20.056,171.274,escuro
18.408,13.433,15.427,26.155,19.274,19.665,22.999,171.274,escuro
