media_RGB_cafe,media_R_cafe,media_G_cafe,media_B_cafe,mediana_RGB_cafe,mediana_R_cafe,mediana_G_cafe,mediana_B_cafe,moda_RGB_cafe,moda_R_cafe,moda_G_cafe,moda_B_cafe,desvio_RGB_cafe,desvio_R_cafe,desvio_G_cafe,desvio_B_cafe,media_HSV_cafe,media_H_cafe,media_S_cafe,media_V_cafe,mediana_HSV_cafe,mediana_H_cafe,mediana_S_cafe,mediana_V_cafe,moda_HSV_cafe,moda_H_cafe,moda_S_cafe,moda_V_cafe,desvio_HSV_cafe,desvio_H_cafe,desvio_S_cafe,desvio_V_cafe,media_LAB_cafe,media_L_cafe,media_A_cafe,media_B_cafe,mediana_LAB_cafe,mediana_L_cafe,mediana_A_cafe,mediana_B_cafe,moda_LAB_cafe,moda_L_cafe,moda_A_cafe,moda_B_cafe,desvio_LAB_cafe,desvio_L_cafe,desvio_A_cafe,desvio_B_cafe,media_cafe_cinza,mediana_cafe_cinza,moda_cafe_cinza,desvio_cafe_cinza,media_RGB_folha,media_R_folha,media_G_folha,media_B_folha,mediana_RGB_folha,mediana_R_folha,mediana_G_folha,mediana_B_folha,moda_RGB_folha,moda_R_folha,moda_G_folha,moda_B_folha,desvio_RGB_folha,desvio_R_folha,desvio_G_folha,desvio_B_folha,media_HSV_folha,media_H_folha,media_S_folha,media_V_folha,mediana_HSV_folha,mediana_H_folha,mediana_S_folha,mediana_V_folha,moda_HSV_folha,moda_H_folha,moda_S_folha,moda_V_folha,desvio_HSV_folha,desvio_H_folha,desvio_S_folha,desvio_V_folha,media_LAB_folha,media_L_folha,media_A_folha,media_B_folha,mediana_LAB_folha,mediana_L_folha,mediana_A_folha,mediana_B_folha,moda_LAB_folha,moda_L_folha,moda_A_folha,moda_B_folha,desvio_LAB_folha,desvio_L_folha,desvio_A_folha,desvio_B_folha,media_folha_cinza,mediana_folha_cinza,moda_folha_cinza,desvio_folha_cinza,0_R_cafe,1_R_cafe,2_R_cafe,3_R_cafe,0_G_cafe,1_G_cafe,2_G_cafe,3_G_cafe,0_B_cafe,1_B_cafe,2_B_cafe,3_B_cafe,0_H_cafe,1_H_cafe,2_H_cafe,3_H_cafe,0_S_cafe,1_S_cafe,2_S_cafe,3_S_cafe,0_V_cafe,1_V_cafe,2_V_cafe,3_V_cafe,0_L_cafe,1_L_cafe,2_L_cafe,3_L_cafe,0_A_cafe,1_A_cafe,2_A_cafe,3_A_cafe,0_LB_cafe,1_LB_cafe,2_LB_cafe,3_LB_cafe,0_cinza_cafe,1_cinza_cafe,2_cinza_cafe,3_cinza_cafe,0_R_folha,1_R_folha,2_R_folha,3_R_folha,0_G_folha,1_G_folha,2_G_folha,3_G_folha,0_B_folha,1_B_folha,2_B_folha,3_B_folha,0_H_folha,1_H_folha,2_H_folha,3_H_folha,0_S_folha,1_S_folha,2_S_folha,3_S_folha,0_V_folha,1_V_folha,2_V_folha,3_V_folha,0_L_folha,1_L_folha,2_L_folha,3_L_folha,0_A_folha,1_A_folha,2_A_folha,3_A_folha,0_LB_folha,1_LB_folha,2_LB_folha,3_LB_folha,0_cinza_folha,1_cinza_folha,2_cinza_folha,3_cinza_folha,Flash,Agtron
41.131,32.884,39.886,50.622,35.0,27.0,34.0,46.0,23,20,24,34,25.758,22.524,24.581,26.819,53.57,13.009,97.073,50.627,44.0,12.0,96.0,46.0,14,14,85,34,42.825,12.793,32.749,26.824,102.901,42.812,131.696,134.194,131.0,37.0,132.0,134.0,130,27,130,136,45.552,28.14,2.193,3.059,42.28,37.0,27,24.881,236.019,232.457,238.518,237.081,236.0,233.0,239.0,238.0,235,235,241,239,5.924,5.171,5.441,5.373,93.953,37.039,6.302,238.52,36.0,36.0,6.0,239.0,5,34,5,241,103.065,3.783,1.274,5.44,165.573,239.943,126.281,130.495,130.0,240.0,126.0,130.0,126,241,126,130,52.692,4.855,0.611,0.507,237.43,238.0,240,5.4,3738.703,341.141,6.375,9.781,3505.14,568.969,11.625,10.266,3019.031,1038.547,27.828,10.594,4070.469,1.812,23.719,0.0,545.172,2923.422,580.641,46.766,3019.0,1038.562,27.797,10.641,3288.922,775.016,21.375,10.688,0.0,35.672,4060.328,0.0,0.0,10.344,4085.656,0.0,3423.219,649.406,13.109,10.266,0.0,0.031,0.266,4095.703,0.0,0.031,0.188,4095.781,0.0,0.031,0.203,4095.766,4095.969,0.031,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,0.031,0.188,4095.781,0.0,0.016,0.156,4095.828,0.0,4092.14,3.859,0.0,0.0,0.0,4096.0,0.0,0.0,0.031,0.203,4095.766,0,Agtron 25
41.683,32.733,39.496,52.82,36.0,27.0,34.0,48.0,22,18,23,35,24.258,20.287,22.685,25.107,55.921,10.696,104.244,52.821,47.0,10.0,104.0,48.0,9,9,128,35,44.439,11.597,27.739,25.111,103.584,43.177,133.024,134.551,132.0,38.0,133.0,135.0,134,27,134,136,45.426,26.505,2.191,2.958,42.719,37.0,26,22.993,236.885,231.569,238.438,240.648,237.0,232.0,239.0,241.0,236,233,241,241,6.616,4.775,5.402,5.874,91.235,23.478,9.579,240.648,26.0,26.0,9.0,241.0,26,26,8,241,105.887,3.829,2.084,5.874,166.423,240.521,127.354,131.394,131.0,241.0,127.0,131.0,131,243,127,131,52.499,4.879,0.642,0.495,238.476,239.0,241,5.249,3742.812,341.453,10.453,1.281,3490.656,588.078,14.5,2.766,2897.453,1170.625,24.016,3.906,4076.797,0.422,18.781,0.0,258.922,3063.562,756.938,16.578,2897.453,1170.562,24.047,3.938,3246.016,825.906,20.391,3.688,0.0,13.781,4082.219,0.0,0.0,3.016,4092.984,0.0,3378.188,699.562,15.484,2.766,0.0,0.0,0.016,4095.984,0.0,0.0,0.016,4095.984,0.0,0.0,0.016,4095.984,4096.0,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.016,4095.984,0.0,0.0,0.016,4095.984,0.0,2292.984,1803.016,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.016,4095.984,0,Agtron 25
33.114,31.07,32.853,35.419,23.0,22.0,22.0,24.0,14,15,14,14,31.125,28.894,31.335,32.863,35.494,37.886,32.806,35.789,21.0,14.0,27.0,25.0,0,0,0,15,40.3,52.674,31.742,32.82,96.83,32.124,128.847,129.52,128.0,19.0,128.0,129.0,128,12,128,128,49.933,34.456,2.028,2.845,33.396,23.0,14,31.428,239.444,235.533,240.987,241.812,240.0,236.0,242.0,242.0,241,240,247,247,6.773,5.872,6.325,6.313,91.567,26.273,6.526,241.902,26.0,26.0,7.0,243.0,26,26,7,247,106.687,3.086,1.074,6.305,166.824,242.559,127.229,130.684,131.0,243.0,127.0,131.0,127,243,127,131,53.671,5.628,0.522,0.476,240.886,242.0,246,6.312,3733.266,278.766,60.234,23.734,3685.64,314.359,62.219,33.781,3595.156,397.859,65.516,37.469,3142.922,548.562,404.516,0.0,3458.016,579.125,57.703,1.156,3591.719,400.047,66.469,37.766,3615.438,369.297,72.969,38.297,0.0,400.922,3695.078,0.0,0.0,592.922,3503.078,0.0,3669.64,329.938,62.922,33.5,0.0,0.016,0.156,4095.828,0.0,0.016,0.156,4095.828,0.0,0.016,0.125,4095.86,4096.0,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,0.016,0.125,4095.86,0.0,0.016,0.094,4095.89,0.0,2972.453,1123.547,0.0,0.0,0.0,4096.0,0.0,0.0,0.016,0.156,4095.828,0,Agtron 25
46.84,32.773,44.507,63.239,42.0,30.0,41.0,61.0,35,27,35,55,26.798,19.979,23.562,26.979,67.888,11.376,129.048,63.24,60.0,11.0,126.0,61.0,10,10,128,55,54.473,6.153,34.353,26.987,108.018,50.618,134.831,138.604,134.0,48.0,135.0,138.0,136,27,136,137,43.613,26.957,2.58,4.877,48.726,46.0,39,23.911,236.019,232.457,238.518,237.081,236.0,233.0,239.0,238.0,235,235,241,239,5.924,5.171,5.441,5.373,93.953,37.039,6.302,238.52,36.0,36.0,6.0,239.0,5,34,5,241,103.065,3.783,1.274,5.44,165.573,239.943,126.281,130.495,130.0,240.0,126.0,130.0,126,241,126,130,52.692,4.855,0.611,0.507,237.43,238.0,240,5.4,3876.14,206.844,5.312,7.703,3450.266,611.984,25.328,8.422,2231.344,1777.656,75.75,11.25,4091.5,0.047,4.453,0.0,48.516,2078.531,1769.703,199.25,2231.328,1777.672,75.734,11.266,3001.64,1040.547,44.828,8.984,0.0,10.781,4085.219,0.0,0.0,0.438,4095.562,0.0,3231.453,825.297,30.734,8.516,0.0,0.031,0.266,4095.703,0.0,0.031,0.188,4095.781,0.0,0.031,0.203,4095.766,4095.969,0.031,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,0.031,0.188,4095.781,0.0,0.016,0.156,4095.828,0.0,4092.14,3.859,0.0,0.0,0.0,4096.0,0.0,0.0,0.031,0.203,4095.766,0,Agtron 35
52.534,34.966,49.467,73.167,49.0,32.0,47.0,72.0,33,24,42,71,26.941,17.976,21.618,25.362,74.245,11.181,138.386,73.168,71.0,11.0,138.0,72.0,12,12,143,71,56.217,3.063,27.134,25.363,111.964,57.878,136.738,141.276,136.0,56.0,137.0,141.0,136,54,136,141,41.052,25.176,2.35,4.282,54.848,53.0,48,22.121,236.885,231.569,238.438,240.648,237.0,232.0,239.0,241.0,236,233,241,241,6.616,4.775,5.402,5.874,91.235,23.478,9.579,240.648,26.0,26.0,9.0,241.0,26,26,8,241,105.887,3.829,2.084,5.874,166.423,240.521,127.354,131.394,131.0,241.0,127.0,131.0,131,243,127,131,52.499,4.879,0.642,0.495,238.476,239.0,241,5.249,3842.328,241.672,11.781,0.219,3098.14,979.5,17.438,0.922,1534.047,2487.453,72.172,2.328,4095.234,0.0,0.766,0.0,20.078,1393.609,2549.922,132.391,1534.047,2487.453,72.172,2.328,2486.64,1580.656,27.203,1.5,0.0,8.656,4087.344,0.0,0.0,0.031,4095.969,0.0,2761.969,1312.953,20.156,0.922,0.0,0.0,0.016,4095.984,0.0,0.0,0.016,4095.984,0.0,0.0,0.016,4095.984,4096.0,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.016,4095.984,0.0,0.0,0.016,4095.984,0.0,2292.984,1803.016,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.016,4095.984,0,Agtron 35
46.526,33.847,43.978,61.753,43.0,32.0,42.0,60.0,34,24,34,55,23.735,17.209,20.459,24.004,64.128,10.8,119.832,61.753,59.0,11.0,118.0,60.0,10,10,128,55,49.412,6.167,27.533,24.005,107.313,49.841,134.586,137.513,134.0,48.0,135.0,137.0,136,27,134,136,43.049,24.092,2.251,3.922,48.108,46.0,36,20.95,239.444,235.533,240.987,241.812,240.0,236.0,242.0,242.0,241,240,247,247,6.773,5.872,6.325,6.313,91.567,26.273,6.526,241.902,26.0,26.0,7.0,243.0,26,26,7,247,106.687,3.086,1.074,6.305,166.824,242.559,127.229,130.684,131.0,243.0,127.0,131.0,127,243,127,131,53.671,5.628,0.522,0.476,240.886,242.0,246,6.312,3911.938,175.047,7.812,1.203,3473.734,604.422,15.531,2.312,2301.453,1746.156,45.031,3.359,4091.25,0.016,4.734,0.0,42.422,2593.0,1401.984,58.594,2301.453,1746.141,45.047,3.359,3003.969,1063.125,26.062,2.844,0.0,4.516,4091.484,0.0,0.0,0.391,4095.61,0.0,3243.297,831.891,18.531,2.281,0.0,0.016,0.156,4095.828,0.0,0.016,0.156,4095.828,0.0,0.016,0.125,4095.86,4096.0,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,0.016,0.125,4095.86,0.0,0.016,0.094,4095.89,0.0,2972.453,1123.547,0.0,0.0,0.0,4096.0,0.0,0.0,0.016,0.156,4095.828,0,Agtron 35
49.92,32.446,47.192,70.122,45.0,30.0,44.0,66.0,34,29,42,53,28.21,17.609,23.025,28.746,74.04,11.464,140.535,70.122,66.0,11.0,139.0,66.0,10,10,143,53,58.622,5.867,33.108,28.746,110.854,54.973,136.398,141.191,135.0,52.0,136.0,141.0,136,54,136,137,42.718,27.057,3.25,6.032,52.328,49.0,47,23.803,236.019,232.457,238.518,237.081,236.0,233.0,239.0,238.0,235,235,241,239,5.924,5.171,5.441,5.373,93.953,37.039,6.302,238.52,36.0,36.0,6.0,239.0,5,34,5,241,103.065,3.783,1.274,5.44,165.573,239.943,126.281,130.495,130.0,240.0,126.0,130.0,126,241,126,130,52.692,4.855,0.611,0.507,237.43,238.0,240,5.4,3898.047,193.828,3.5,0.625,3298.328,763.0,33.516,1.156,1865.391,2063.75,162.375,4.484,4091.875,0.0,4.125,0.0,19.297,1429.578,2375.203,271.922,1865.391,2063.75,162.375,4.484,2749.61,1280.031,64.609,1.75,0.0,3.797,4092.203,0.0,0.0,0.625,4095.375,0.0,3002.64,1049.891,42.219,1.25,0.0,0.031,0.266,4095.703,0.0,0.031,0.188,4095.781,0.0,0.031,0.203,4095.766,4095.969,0.031,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,0.031,0.188,4095.781,0.0,0.016,0.156,4095.828,0.0,4092.14,3.859,0.0,0.0,0.0,4096.0,0.0,0.0,0.031,0.203,4095.766,0,Agtron 45
63.769,36.698,60.278,94.329,58.0,34.0,58.0,92.0,45,26,45,80,34.091,17.987,23.934,30.188,88.731,12.065,159.798,94.33,91.0,12.0,159.0,92.0,12,12,159,80,64.607,2.168,25.43,30.188,120.513,72.985,140.233,148.321,140.0,71.0,140.0,148.0,142,58,142,149,37.528,27.627,2.798,5.736,67.749,65.0,53,24.87,236.885,231.569,238.438,240.648,237.0,232.0,239.0,241.0,236,233,241,241,6.616,4.775,5.402,5.874,91.235,23.478,9.579,240.648,26.0,26.0,9.0,241.0,26,26,8,241,105.887,3.829,2.084,5.874,166.423,240.521,127.354,131.394,131.0,241.0,127.0,131.0,131,243,127,131,52.499,4.879,0.642,0.495,238.476,239.0,241,5.249,3765.688,327.328,2.578,0.406,2414.531,1660.594,20.25,0.625,642.031,2831.11,619.703,3.156,4095.734,0.0,0.266,0.0,8.859,334.312,3340.875,411.953,642.031,2831.11,619.703,3.156,1650.422,2331.297,113.391,0.891,0.0,3.0,4093.0,0.0,0.0,0.016,4095.984,0.0,1950.234,2099.64,45.406,0.719,0.0,0.0,0.016,4095.984,0.0,0.0,0.016,4095.984,0.0,0.0,0.016,4095.984,4096.0,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.016,4095.984,0.0,0.0,0.016,4095.984,0.0,2292.984,1803.016,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.016,4095.984,0,Agtron 45
53.624,35.019,50.372,75.481,48.0,33.0,47.0,72.0,36,29,45,65,27.943,17.013,22.015,27.09,75.355,11.052,139.533,75.482,72.0,11.0,139.0,72.0,10,10,143,65,56.86,3.503,26.442,27.092,112.887,59.337,137.282,142.041,136.0,57.0,137.0,141.0,137,54,136,142,40.856,25.639,2.88,5.414,56.095,53.0,50,22.69,239.444,235.533,240.987,241.812,240.0,236.0,242.0,242.0,241,240,247,247,6.773,5.872,6.325,6.313,91.567,26.273,6.526,241.902,26.0,26.0,7.0,243.0,26,26,7,247,106.687,3.086,1.074,6.305,166.824,242.559,127.229,130.684,131.0,243.0,127.0,131.0,127,243,127,131,53.671,5.628,0.522,0.476,240.886,242.0,246,6.312,3887.344,198.891,9.281,0.484,3176.062,886.078,32.359,1.5,1462.609,2454.328,174.531,4.531,4095.0,0.016,0.984,0.0,19.453,1314.453,2635.219,126.875,1462.609,2454.312,174.531,4.547,2511.922,1520.016,61.797,2.266,0.0,5.344,4090.656,0.0,0.0,0.0,4096.0,0.0,2803.328,1249.203,41.922,1.547,0.0,0.016,0.156,4095.828,0.0,0.016,0.156,4095.828,0.0,0.016,0.125,4095.86,4096.0,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,0.016,0.125,4095.86,0.0,0.016,0.094,4095.89,0.0,2972.453,1123.547,0.0,0.0,0.0,4096.0,0.0,0.0,0.016,0.156,4095.828,0,Agtron 45
57.818,35.42,54.872,83.161,52.0,33.0,50.0,79.0,40,29,45,72,31.47,18.461,24.752,29.412,81.727,11.87,150.149,83.162,79.0,12.0,149.0,79.0,10,10,152,72,61.293,4.344,28.687,29.414,116.119,65.234,138.182,144.94,137.0,61.0,138.0,144.0,139,54,137,142,39.729,27.94,3.2,6.126,61.07,57.0,53,25.118,236.019,232.457,238.518,237.081,236.0,233.0,239.0,238.0,235,235,241,239,5.924,5.171,5.441,5.373,93.953,37.039,6.302,238.52,36.0,36.0,6.0,239.0,5,34,5,241,103.065,3.783,1.274,5.44,165.573,239.943,126.281,130.495,130.0,240.0,126.0,130.0,126,241,126,130,52.692,4.855,0.611,0.507,237.43,238.0,240,5.4,3801.578,287.672,6.141,0.609,2963.938,1066.141,63.984,1.938,1014.188,2760.516,309.766,11.531,4094.234,0.0,1.766,0.0,4.375,805.875,2998.031,287.719,1014.188,2760.516,309.766,11.531,2223.844,1734.906,134.016,3.234,0.0,2.156,4093.844,0.0,0.0,0.094,4095.906,0.0,2558.594,1449.516,85.609,2.281,0.0,0.031,0.266,4095.703,0.0,0.031,0.188,4095.781,0.0,0.031,0.203,4095.766,4095.969,0.031,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,0.031,0.188,4095.781,0.0,0.016,0.156,4095.828,0.0,4092.14,3.859,0.0,0.0,0.0,4096.0,0.0,0.0,0.031,0.203,4095.766,0,Agtron 55
